Process ID     Arrival Time   Burst Time     Priority       
P0             8.9            16.8           7              
P1             6.8            13.1           7              
P2             6.8            13.1           4              
P3             8.3            15.7           13             
P4             3.9            7.9            4              
P5             4.3            8.6            6              
P6             6.6            12.8           4              
P7             5.7            11.1           7              
P8             8.4            15.9           7              
P9             18.1           33.0           8              
